year,county,state_n,Dl_vloans_b,inter_bra,w1,Dl_hpi
1994,1001,1,0.270247626798094,0,0.975311991297105,0.00317608995182361
1995,1001,1,-0.0384270453327815,0,0.975311991297105,0.0489121311581968
1996,1001,1,0.161633321120629,0,0.975311991297105,0.0582032051959214
1997,1001,1,0.0565231540117619,0,0.975311991297105,0.0443659955413427
1998,1001,1,0.0342358696525942,1,0.975311991297105,0.0470915915393135
1999,1001,1,0.0487191462567491,1,0.975311991297105,0.00628021066328088
2000,1001,1,-0.0346175781714138,1,0.975311991297105,0.0188025786326715
2001,1001,1,-0.0109656730833922,1,0.975311991297105,0.0688628096560064
2002,1001,1,0.121278315345421,1,0.975311991297105,0.0605764326397482
2003,1001,1,0.202691102251061,1,0.975311991297105,0.024042501851576
2004,1001,1,0.0884355513221475,1,0.975311991297105,0.0245395351341333
2005,1001,1,-0.0354692722696708,1,0.975311991297105,0.12878626291836
1994,1007,1,-0.101782694309943,0,0.975311991297105,0.0583241638998677
1995,1007,1,1.65368261423186,0,0.975311991297105,0.0481099627129851
1996,1007,1,2.15377321155786,0,0.975311991297105,0.104394351205988
1997,1007,1,0.0376130448413257,0,0.975311991297105,0.0386577497508647
1998,1007,1,0.454481542218602,1,0.975311991297105,0.031090561399453
1999,1007,1,0.586852521910322,1,0.975311991297105,0.0327740407066282
2000,1007,1,-0.0521071257801165,1,0.975311991297105,-0.0187348481876635
2001,1007,1,-0.356553232678262,1,0.975311991297105,0.0528861976617865
2002,1007,1,-0.0115608224010764,1,0.975311991297105,0.0263262641449549
2003,1007,1,0.295076010425467,1,0.975311991297105,-0.00145696019141539
2004,1007,1,-0.0338699456136364,1,0.975311991297105,0.0633390508219636
2005,1007,1,0.201675821690104,1,0.975311991297105,0.0750174452125911
1994,1009,1,0.464160564980507,0,0.975311991297105,0.0550332869000449
1995,1009,1,-0.0358090749528497,0,0.975311991297105,0.0453458978288337
1996,1009,1,0.258720513459194,0,0.975311991297105,0.102633372931598
1997,1009,1,0.355589101302437,0,0.975311991297105,0.0380627261474258
1998,1009,1,0.0847585124571708,1,0.975311991297105,0.0312313011511636
1999,1009,1,0.407778973667494,1,0.975311991297105,0.0343676594081455
2000,1009,1,0.0658516822723048,1,0.975311991297105,-0.0156221637857028
2001,1009,1,-0.250248006026165,1,0.975311991297105,0.0565077204230189
2002,1009,1,0.113180322817678,1,0.975311991297105,0.0295107123538712
2003,1009,1,0.186768197859251,1,0.975311991297105,0.00046289915060882
2004,1009,1,0.0297728667995898,1,0.975311991297105,0.0614791263624186
2005,1009,1,0.0383044835885809,1,0.975311991297105,0.0751830622233456
1994,1015,1,0.280577473521818,0,0.975311991297105,0.0318843543784251
1995,1015,1,-0.179884567091602,0,0.975311991297105,0.00821594843009077
1996,1015,1,0.212999706520227,0,0.975311991297105,0.0431744302887411
1997,1015,1,-0.0865679339215077,0,0.975311991297105,0.0904371179487899
1998,1015,1,0.35323713073552,1,0.975311991297105,0.066913231910573
1999,1015,1,0.107568198648266,1,0.975311991297105,0.0114869410279805
2000,1015,1,-0.165493131962041,1,0.975311991297105,0.0081432265380732
2001,1015,1,-0.0455734702452233,1,0.975311991297105,0.0516794530045566
2002,1015,1,0.235097187496217,1,0.975311991297105,0.0562138795951119
2003,1015,1,0.192573900323655,1,0.975311991297105,0.0521250840384449
2004,1015,1,0.174514652010659,1,0.975311991297105,0.0196606290480315
2005,1015,1,0.0852813127789052,1,0.975311991297105,0.0173805863301926
1994,1021,1,-0.398833155804414,0,0.975311991297105,0.0548568449602236
1995,1021,1,1.25195325185194,0,0.975311991297105,0.0454348236905142
1996,1021,1,1.28358547282189,0,0.975311991297105,0.103222997934116
1997,1021,1,0.772447311804653,0,0.975311991297105,0.0384796850044191
1998,1021,1,0.0889529995011014,1,0.975311991297105,0.0315270770208649
